,classcode,oneway,streetname,cnn,from_cnn,to_cnn,from_cnn_coords,to_cnn_coords,length
3093,5,B,14TH AVE,566000,27132000,32875000,"[-122.47101675855686, 37.75479717098587]","[-122.47101932168609, 37.75426561821518]",59.0692912342
3094,4,B,MORAGA AVE,19563000,51268000,51267000,"[-122.45739906732678, 37.79706766963214]","[-122.45799664695392, 37.79731254563645]",59.1093354441
3095,0,B,ARTHUR AVE,2506000,33117000,51702000,"[-122.38799708243656, 37.7466187992363]","[-122.38854614473719, 37.74692684689832]",59.1562997619
3096,5,B,02ND AVE,120000,27577000,27565000,"[-122.46030824500005, 37.785538555048866]","[-122.4602696006714, 37.785006281402254]",59.2462574323
3097,5,B,ENCLINE CT,5232000,50651000,22331000,"[-122.44713882632892, 37.74187723969895]","[-122.44780040744172, 37.741771699002314]",59.3077597142
3098,0,B,ORD CT,9965099,50569000,26168000,"[-122.43960979852076, 37.76348764300047]","[-122.44028519902128, 37.7634933381456]",59.3369360347
3099,4,B,SILVER AVE,11899000,33314000,21664000,"[-122.42596370349817, 37.72864102210712]","[-122.42528993957978, 37.7286774799888]",59.356077785
3100,5,B,CAROLINA ST,3716000,23701000,23700000,"[-122.39962974371109, 37.75439068346957]","[-122.39952371782923, 37.75386309614848]",59.3636620852
3101,5,B,17TH ST,791000,24054000,24053000,"[-122.4130026837363, 37.764090861337344]","[-122.41358756916826, 37.76382320702695]",59.3693134137
3102,3,F,01ST ST,112000,24500000,24499000,"[-122.39392094242484, 37.78685176666337]","[-122.39344473330975, 37.78647233803566]",59.38731441
3103,5,B,18TH ST,896000,26144000,26149000,"[-122.43933681398019, 37.760626723346185]","[-122.44001089148387, 37.760584929796046]",59.4014822955
3104,4,T,OCEAN AVE,9823101,22587000,22586000,"[-122.45651601571933, 37.72396381749467]","[-122.45716900107739, 37.724101683978525]",59.4045509952
3105,4,F,OCEAN AVE,9823201,22587000,22586000,"[-122.45651601571933, 37.72396381749467]","[-122.45716900107739, 37.724101683978525]",59.4045509952
3106,0,B,HAWKINS LN,6806000,20185000,51647000,"[-122.38296200154639, 37.73460320487691]","[-122.38363806265615, 37.73460566078784]",59.4154096754
3107,5,B,WINTER PL,13690000,50139000,25418000,"[-122.41174037606831, 37.79980489804197]","[-122.41240815045687, 37.79971800201981]",59.4246423806
3108,5,B,BEACH ST,2844000,25597000,25598000,"[-122.41890804430986, 37.806863031075345]","[-122.41957724303825, 37.80678011243251]",59.4724271204
3109,5,B,RADIO TER,10887000,27119000,27120000,"[-122.47084594491383, 37.750912159152264]","[-122.47037546960208, 37.75052733286892]",59.4776363629
3110,5,B,KRONQUIST CT,7911000,51039000,22039000,"[-122.43501586278882, 37.74696864059624]","[-122.4349668979893, 37.74643467494654]",59.492775632
3111,4,B,DUBOCE AVE,4981000,25847000,25849000,"[-122.42314596485272, 37.76982082540436]","[-122.4238214751358, 37.76978028683487]",59.5088968457
3112,5,B,SUNNYDALE AVE,12257000,20338000,20342000,"[-122.4062280525299, 37.709167532653424]","[-122.40686611318347, 37.70934659384665]",59.5190266327
3113,5,B,CONGO ST,4333000,28178000,22138000,"[-122.44200661404408, 37.72937526783153]","[-122.44201021459213, 37.7299109493234]",59.5285076961
3114,4,T,FELL ACCESS RD,12986000,32859000,26445000,"[-122.45344235619314, 37.7717557757691]","[-122.45408321766531, 37.77193040437085]",59.5439034708
3115,5,F,CARRIE ST,3722000,21935000,21928000,"[-122.43264733238387, 37.73454084738246]","[-122.43283747150099, 37.73402651584412]",59.5478157716
3116,5,B,FLOOD AVE,5612000,22248000,22247000,"[-122.45339429451278, 37.7298365936604]","[-122.45407204872072, 37.72983387354051]",59.5681821622
3117,3,F,FELL ST,12891000,32859000,32856000,"[-122.45344235619314, 37.7717557757691]","[-122.4539795224647, 37.77142839542362]",59.5810620973
3118,3,F,04TH ST,263000,23833000,23832000,"[-122.39753890653793, 37.779132223457964]","[-122.3970617161945, 37.778751053419725]",59.5885177432
3119,4,B,17TH ST,815000,26162000,26166000,"[-122.43949132270907, 37.762226867103806]","[-122.44016828049881, 37.76218657380888]",59.6397208741
3120,4,B,05TH ST,297000,23940000,23939000,"[-122.40440368226685, 37.7810765969486]","[-122.40392088169571, 37.78069904947559]",59.651517134
3121,5,B,BRANT ALY,3092000,25396000,50118000,"[-122.41060054136148, 37.80217473386915]","[-122.41006611101024, 37.80184320371905]",59.6593178528
3122,5,B,LEE AVE,15198000,22223000,54350000,"[-122.45411575309892, 37.72345700698417]","[-122.45410150348101, 37.72399385674695]",59.6706372532
